Kelime,Cumle,EsCevap
ışık,Güneşten dolayı odaya  [MASK] geliyordu.,parlaklık
gölge,Gölge aslında  [MASK].,karanlık alan
yağmur,Yağmur  [MASK] yağar.,sağanak
kar,Kara kışın  [MASK] de deriz.,beyaz örtü
rüzgar,Rüzgar hafif  [MASK] olunca hava çok güzel oluyor.,esinti
dağ,Karşıdaki yükek  [MASK] ne kadar da ihtişamlı!,tepe
nehir,Nehir ve  [MASK] akarsu kaynağıdır.,ırmak
su birikintisi,Su birikintisi yağmur sonucu oluşan küçük  [MASK].,doğal su
güneş,Güneş aslında   [MASK].,ısı kaynağı
ay,Ay'a  [MASK] da denir.,gece ışığı
yıldız,Yıldız bir   [MASK].,gök cismi
kış,Kış en  [MASK].,soğuk mevsim
yaz,Yaz en  [MASK].,sıcak mevsim
sonbahar,Sonbahar  [MASK] ile başlar.,yaprak dökümü
ilkbahar,İlkbahara  [MASK] da denir çünkü tüm bitkiler aslında uyanışa geçer.,uyanış zamanı
gece,Gece aslında  [MASK].,karanlık zaman
gündüz,Gündüz aslında aydı [MASK]nlık zaman.,aydınlık zaman
öğretmen,Öğretmenin bir diğer adı da  [MASK].,muallim
